Shipment ID,Sales Person,Product,Country,Date,Amount,Boxes,Order Status
S0000-00002,SP01,P07,G6,2-Jan-23,6574.5,347,Delivered
S0000-00005,SP01,P14,G4,2-Jan-23,7794,312,Delivered
S0000-00007,SP01,P06,G1,2-Jan-23,10770.75,770,Delivered
S0000-00012,SP01,P20,G1,2-Jan-23,7672.5,404,Delivered
S0000-00014,SP02,P04,G4,2-Jan-23,8970.75,816,Cancelled
S0000-00017,SP02,P12,G4,2-Jan-23,3703.5,133,Delivered
S0000-00020,SP02,P17,G4,2-Jan-23,11846.25,474,Delivered
S0000-00024,SP02,P22,G4,2-Jan-23,5757.75,251,Delivered
S0000-00027,SP03,P06,G6,2-Jan-23,1289.25,86,Delivered
S0000-00029,SP03,P16,G1,2-Jan-23,4808.25,241,Delivered
S0000-00033,SP03,P21,G5,2-Jan-23,4794.75,343,Delivered
S0000-00036,SP03,P17,G2,2-Jan-23,10647,410,Delivered
S0000-00038,SP04,P14,G3,2-Jan-23,398.25,16,Delivered
S0000-00043,SP04,P17,G1,2-Jan-23,7359.75,307,Delivered
S0000-00044,SP04,P10,G1,2-Jan-23,4704.75,337,Delivered
S0000-00046,SP04,P13,G4,2-Jan-23,1991.25,200,Delivered
S0000-00050,SP04,P14,G1,2-Jan-23,182.25,8,Delivered
S0000-00052,SP04,P12,G1,2-Jan-23,8010,309,Delivered
S0000-00057,SP04,P16,G3,2-Jan-23,7164,359,Cancelled
S0000-00058,SP04,P16,G5,2-Jan-23,3660.75,167,Delivered
S0000-00060,SP06,P21,G4,2-Jan-23,1273.5,107,Delivered
S0000-00065,SP06,P21,G6,2-Jan-23,5170.5,370,Delivered
S0000-00066,SP06,P12,G1,2-Jan-23,6167.25,221,Delivered
S0000-00070,SP06,P11,G6,2-Jan-23,6102,436,Delivered
S0000-00073,SP06,P04,G4,2-Jan-23,6115.5,471,Delivered
S0000-00078,SP06,P16,G1,2-Jan-23,2722.5,124,Delivered
S0000-00082,SP06,P17,G1,2-Jan-23,16643.25,666,Delivered
S0000-00083,SP06,P19,G6,2-Jan-23,3987,160,Delivered
S0000-00085,SP06,P15,G1,2-Jan-23,5674.5,334,Delivered
S0000-00090,SP07,P15,G5,2-Jan-23,1293.75,87,Delivered
S0000-00092,SP07,P01,G2,2-Jan-23,5550.75,694,Delivered
S0000-00093,SP07,P05,G4,2-Jan-23,488.25,31,Delivered
S0000-00094,SP07,P17,G1,2-Jan-23,3703.5,143,Delivered
S0000-00098,SP08,P12,G1,2-Jan-23,2603.25,97,Delivered
S0000-00102,SP08,P13,G4,2-Jan-23,12780,1162,Delivered
S0000-00106,SP08,P18,G2,2-Jan-23,2810.25,105,Delivered
S0000-00107,SP08,P11,G3,2-Jan-23,5161.5,431,Delivered
S0000-00110,SP08,P05,G1,2-Jan-23,7047,392,Delivered
S0000-00111,SP09,P17,G2,2-Jan-23,762.75,31,Delivered
S0000-00113,SP09,P19,G2,2-Jan-23,10696.5,412,Delivered
S0000-00115,SP09,P21,G4,2-Jan-23,3300.75,236,Delivered
S0000-00118,SP09,P12,G1,2-Jan-23,6682.5,248,Delivered
S0000-00119,SP09,P08,G1,2-Jan-23,5503.5,1101,Delivered
S0000-00121,SP10,P03,G6,2-Jan-23,3980.25,285,Delivered
S0000-00123,SP10,P20,G5,2-Jan-23,4432.5,234,Delivered
S0000-00125,SP11,P16,G5,2-Jan-23,9805.5,467,Delivered
S0000-00130,SP11,P21,G3,2-Jan-23,9540,795,Delivered
S0000-00131,SP11,P12,G4,2-Jan-23,7242.75,290,Delivered
S0000-00135,SP11,P10,G1,2-Jan-23,7026.75,639,Delivered
S0000-00137,SP11,P05,G5,2-Jan-23,947.25,56,Delivered
S0000-00142,SP11,P11,G5,2-Jan-23,5782.5,445,Delivered
S0000-00147,SP12,P19,G6,2-Jan-23,333,14,Delivered
S0000-00149,SP12,P08,G5,2-Jan-23,2029.5,254,Delivered
S0000-00152,SP13,P05,G6,2-Jan-23,12845.25,756,Delivered
S0000-00157,SP13,P13,G1,2-Jan-23,11263.5,1024,Delivered
S0000-00158,SP13,P20,G6,2-Jan-23,2821.5,142,Delivered
S0000-00161,SP13,P19,G5,2-Jan-23,10190.25,425,Delivered
S0000-00162,SP14,P16,G1,2-Jan-23,7627.5,364,Delivered
S0000-00167,SP14,P17,G6,2-Jan-23,3996,148,Delivered
S0000-00168,SP14,P22,G4,2-Jan-23,6781.5,295,Delivered
S0000-00169,SP14,P09,G2,2-Jan-23,12710.25,2119,Delivered
S0000-00171,SP14,P19,G1,2-Jan-23,1129.5,44,Delivered
S0000-00173,SP15,P06,G5,2-Jan-23,13808.25,921,Delivered
S0000-00175,SP15,P10,G1,2-Jan-23,4007.25,334,Cancelled
S0000-00179,SP15,P04,G4,2-Jan-23,11610,1056,Delivered
S0000-00182,SP15,P08,G4,2-Jan-23,429.75,54,Delivered
S0000-00186,SP15,P13,G3,2-Jan-23,17658,1359,Delivered
S0000-00190,SP15,P05,G1,2-Jan-23,4072.5,227,Delivered
S0000-00193,SP15,P16,G4,2-Jan-23,13486.5,643,Delivered
S0000-00196,SP16,P09,G2,2-Jan-23,11657.25,1458,Delivered
